episode_overall,season,episode,title,aired_date,year,tmdb_rating,tmdb_vote_count,synopsis,directed_by,written_by,us_viewers_millions,runtime,tmdb_id,imdb_title,imdb_aired_date,imdb_synopsis,imdb_rating,imdb_vote_count,thumbnail_url,imdb_episode_url,is_holiday,guest_actors,guest_characters
79,5,12,The Millie-churian Candidate,2015-02-15,2015,8.5,13,"Tina and Louise volunteer to run Jimmy Junior's class president campaign in order to keep Millie from winning, and ruining the school. Meanwhile, Bob becomes obsessed with a knife after talking himself into buying it for $300.",Don MacKinnon,Greg Thompson,2.01,22,1038408,The Millie-churian Candiate,"Sun, Feb 15, 2015","Desperate to keep Millie from becoming class president and ruining the school, Tina and Louise volunteer to help run Jimmy Junior's campaign.",8.2,1000,"https://m.media-amazon.com/images/M/MV5BZjVkZWZmY2UtZWY5MC00YjY0LWFjYjQtZWE0Y2ZmM2U2N2YxXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4393148/?ref_=ttep_ep_12,FALSE,NA,NA
80,5,13,The Gayle Tales,2015-03-01,2015,7.7,14,"Gayle arrives at Bob's Burgers in tears because her date for the evening was cancelled and she had theater tickets. Desperate to get out of the house after being grounded, the kids compete to be Aunt Gayle's ""date"" for the evening via an essay contest.",Ian Hamilton,Lizzie Molyneux & Wendy Molyneux,3.03,22,1043043,The Gayle Tales,"Sun, Mar 1, 2015",The kids compete to be their Aunt Gayle's companion for the evening.,7.8,1000,"https://m.media-amazon.com/images/M/MV5BMDY1NDNkZGQtNzg3NC00MzUzLWEzMWMtYjBlM2Q5NjRlZTQwXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4432866/?ref_=ttep_ep_13,FALSE,NA,NA
81,5,14,L'il Hard Dad,2015-03-08,2015,8,14,"Bob becomes obsessed with his new automatic helicopter. When it falls apart for no reason, he enters into a battle with the manufacturer in order to receive a refund. Gene assists Bob in his quest, but things quickly get out of hand and end in a crazy helicopter battle. Meanwhile, Louise and Linda help Tina prepare for her oral book report.",Chris Song,Nora Smith,2.56,22,1043549,L'il Hard Dad,"Sun, Mar 8, 2015","Bob becomes obsessed with his new automatic helicopter. When it falls apart for no reason, he enters into a battle with the manufacturer in order to receive a refund. Gene assists Bob in his quest, but things quickly get out of hand and end in a crazy helicopter battle. Meanwhile, Louise and Linda help Tina prepare for her oral book report.",7.5,947,"https://m.media-amazon.com/images/M/MV5BZTI3MDIxY2MtN2JjYy00Mzk4LTg3ZjItNjMyOGNlZjFiNzZlXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4454882/?ref_=ttep_ep_14,FALSE,NA,NA
82,5,15,Adventures in Chinchilla-sitting,2015-03-15,2015,7.6,12,"Bob and Linda head out on the town for a date - but to Linda's dismay, Bob's idea of romance proves ""trivial."" Meanwhile, a wild chinchilla chase ensues after the school pet that Louise was charged with watching escapes out the front door.",Cecilia Aranovich,Mike Benner,2.24,22,1044588,Adventures in Chinchilla-sitting,"Sun, Mar 15, 2015","Bob and Linda head out on the town for a date - but to Linda's dismay, Bob's idea of romance proves ""trivial."" Meanwhile, a wild chinchilla chase ensues after the school pet that Louis was charged with watching escapes out the front door.",7.5,961,"https://m.media-amazon.com/images/M/MV5BNGY0M2ZiNTktOWE4My00NzFhLWFkZTYtYWM3YjFjMGMxN2U0XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4469004/?ref_=ttep_ep_15,FALSE,NA,NA
83,5,16,The Runway Club,2015-03-22,2015,7.9,12,"The kids are sentenced to Saturday detention and will do anything it takes to leave early, so they can attend the Cotton Candy Festival. Meanwhile, Bob and Linda believe they are being scammed by a young girl at the restaurant.",Jennifer Coyle,Steven Davis & Kelvin Yu,2.21,22,1044589,The Runway Club,"Sun, Mar 22, 2015",The kids try to escape Saturday detention so they can attend the Cotton Candy Festival.,7.8,961,"https://m.media-amazon.com/images/M/MV5BYmU1ZTliZDMtNTRmMC00ZmVlLWI4ZmMtNjE0N2U4OWRiMjVjXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4483572/?ref_=ttep_ep_16,FALSE,NA,NA
84,5,17,Itty Bitty Ditty Committee,2015-04-26,2015,7.9,13,"Gene starts a band with Tina, Louise, Rudy, Peter and Daryl, only to be kicked out and left on his own. After declaring that he will never play his Casio again, Tina and Louise join forces to help Gene rediscover his love of music. Meanwhile, Linda deals with a horrible armpit rash that has everyone disgusted!",Bernard Derriman,Holly Schlesinger,2.04,22,1050156,Itty Bitty Ditty Committee,"Sun, Apr 26, 2015","Gene is promptly kicked out of the band he formed with Tina, Louise, Rudy, Peter, and Daryl, and proclaims he is never going to play keyboard again.",7.6,931,"https://m.media-amazon.com/images/M/MV5BZjkxN2NiYzYtNDYyYS00ZWY1LTg0NGQtNmVlNjYxYWY3MGIzXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4570998/?ref_=ttep_ep_17,FALSE,NA,NA
85,5,18,"Eat, Spray, Linda",2015-05-03,2015,8.5,13,"It's Linda's birthday and Bob needs more time to plan her birthday surprise. But when he sends her out of the house as a distraction, she goes missing! Mayhem ensues as the Belchers must work together to find Linda.",Tyree Dillihay,Jon Schroeder,2.24,22,1051602,"Eat, Spray, Linda","Sun, May 3, 2015","It's Linda's birthday and Bob needs more time to plan her birthday surprise. But when he sends her out of the house as a distraction, she goes missing. Mayhem ensues as the Belchers must work together to find Linda.",8.4,1100,"https://m.media-amazon.com/images/M/MV5BMGIwOTI0NTEtNTc3Yy00NzAxLWE5MzAtODc5NWM0NzY3MWFkXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4576552/?ref_=ttep_ep_18,FALSE,Seth Morris,Baker
86,5,19,Housetrap,2015-05-10,2015,8.5,14,"In true Belcher fashion, the family gets stuck in a terrible storm while vacationing at a beach house in Craggy Neck. The storm is the least of their worries, however, when they are forced to take shelter with the mysterious owner of the home.",Jennifer Coyle & Bernard Derriman,Dan Fybel,2.47,22,1054187,Housetrap,"Sun, May 10, 2015","When a vicious storm strikes during the Belcher family's vacation at a beach house in Craggy Neck, they find themselves staying with the mysterious owner.",8.7,1300,"https://m.media-amazon.com/images/M/MV5BODYyZTUyMzMtNGY2YS00YTE2LTg4ZDctYzBiYzljMjljZGI4XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4622310/?ref_=ttep_ep_19,FALSE,NA,NA
87,5,20,Hawk & Chick,2015-05-17,2015,8.2,13,"Bob and Louise are thrilled when they meet Hawk, the star of their favorite martial arts series, and are quick to offer help upon learning about his family troubles.",Tyree Dillihay,Rich Rinaldi,1.95,22,1056216,Hawk & Chick,"Sun, May 17, 2015","Bob and Louise are thrilled when they meet Hawk, the star of their favorite martial arts series, and are quick to offer help upon learning about his family troubles.",8.4,1100,"https://m.media-amazon.com/images/M/MV5BMzY1NWUyMDMtMWRiYy00NzYzLTgzMDgtMGM0YTA5Yjk5ZGEzXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4622318/?ref_=ttep_ep_20,FALSE,NA,NA
88,5,21,The Oeder Games,2015-05-17,2015,8.3,13,"With the threat of a rent increase on Ocean Avenue, Bob and the other tenants rebel! After approaching Fischoeder, the tenants find out that they will have to compete in order to convince him to keep their rents reasonable.",Don MacKinnon,Scott Jacobson,2.44,22,1056217,The Oeder Games,"Sun, May 17, 2015","With the threat of a rent increase on Ocean Avenue, Bob and the other tenants rebel. After approaching Fischoeder, the tenants find out that they will have to compete in order to convince him to keep their rents reasonable.",8.7,1200,"https://m.media-amazon.com/images/M/MV5BMmFiMmJmMzAtNWUzMS00MjYyLTkzZGMtMGY2OThjODcxYmYyXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4622328/?ref_=ttep_ep_21,FALSE,NA,NA
89,6,1,Sliding Bobs,2015-09-27,2015,8.1,14,"Bob notices that he has started to lose his hair. In a wave of nostalgia, Linda reminisces about Bob’s mustache and how it made her fall for him years ago. Meanwhile, the kids tell their own versions of the story of how their parents met.",Don MacKinnon,Greg Thompson,2.51,22,1080760,Sliding Bobs,"Sun, Sep 27, 2015","When Bob starts to lose his hair, Linda reminisces about his mustache and how it made her fall for him; the kids make up their own versions of how Bob and Linda met.",7.8,986,"https://m.media-amazon.com/images/M/MV5BMTk3MTc0ODE3NV5BMl5BanBnXkFtZTgwODUwNTA3NjE@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt4806434/?ref_=ttep_ep_1,FALSE,NA,NA
90,6,2,The Land Ship,2015-10-11,2015,7.7,13,"The upcoming Land Ship parade could mean increased business for Bob, until he learns that two port-o-potties will be placed in front the restaurant. Meanwhile, Tina learns from her friends that she’s boring, so she joins up with Jordan who has been vandalizing the school with graffiti. But when Jordan wants to spray graffiti on the Land Ship, Tina must decide between ruining the parade or disappointing her new crush.",Jennifer Coyle,Holly Schlesinger & H. Jon Benjamin,2.19,22,1108654,The Land Ship,"Sun, Oct 11, 2015",Bob thinks the upcoming Land Ship parade will increase business -- until he learns two porta-potties will be in front of his restaurant; Tina's friends tell her she is boring.,7.6,917,"https://m.media-amazon.com/images/M/MV5BMjMxNDE2MTU3Ml5BMl5BanBnXkFtZTgwMzUwNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5043080/?ref_=ttep_ep_2,FALSE,NA,NA
91,6,3,The Hauntening,2015-10-18,2015,8.7,15,"The Belchers are ready for an amazing Halloween! Louise reveals that she has never been scared before and the family sets out to visit a spooky haunted house. When trouble ensues following their visit, the Belchers find themselves in a zany situation more frightening than they bargained for!",Jennifer Coyle,Steven Davis & Kelvin Yu,2.09,22,1110483,The Hauntening,"Sun, Oct 18, 2015","When Louise admits that she has never felt scared before, the family goes to a haunted house in an effort to change but mayhem ensues after their visit.",9.1,1800,"https://m.media-amazon.com/images/M/MV5BZmVmZGUxMWEtNzI2YS00OTJiLWIzN2QtYTI1YWY3NDRhODM4XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt5062580/?ref_=ttep_ep_3,FALSE,NA,NA
92,6,4,Gayle Makin' Bob Sled,2015-11-08,2015,7.7,14,"When Gayle is injured, Linda sends Bob off to pick her up, so that she doesn't miss out on Thanksgiving festivities. But an unexpected snowstorm derails his trip home, and his epic plan to prepare the turkey is foiled. Bob then must put the fate of the turkey and the Belcher Thanksgiving in Linda's hands and spend time bonding with his sister-in-law.",Tyree Dillihay,Lizzie Molyneux & Wendy Molyneux,3.13,22,1135186,Gayle Makin' Bob Sled,"Sun, Nov 8, 2015","Bob goes to pick up Gayle so she does not miss the Thanksgiving celebration, but gets caught in a snowstorm coming back, leaving Linda to prepare the turkey.",7.6,1000,"https://m.media-amazon.com/images/M/MV5BODY2OTYzMDk0Nl5BMl5BanBnXkFtZTgwNjkwNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5124542/?ref_=ttep_ep_4,TRUE,NA,NA
93,6,5,Nice-Capades,2015-11-15,2015,7.3,15,"When a grumpy mall Santa threatens the kids with the dreaded Naughty List, Gene, Tina and Louise decide to put on a musical performance spectacular to earn their spot on the Nice List. Can they change Santa’s mind in time to save their Christmas?",Chris Song,Dan Fybel,2.27,22,1135187,Nice-Capades,"Sun, Nov 15, 2015","A grumpy mall Santa threatens to put Gene, Tina and Louise on the naughty list, inspiring them to arrange a musical performance in hopes of changing Santa's mind before Christmas.",7.5,927,"https://m.media-amazon.com/images/M/MV5BMjEzODQ1OTMyNl5BMl5BanBnXkFtZTgwNDAxNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5147222/?ref_=ttep_ep_5,TRUE,Henry Winkler,Mall Santa
94,6,6,"The Cook, the Steve, the Gayle, & Her Lover",2016-01-17,2016,8.1,12,"When Bob throws a dinner party to bond with his new friend, Gayle uses the opportunity to introduce the family to her new love interest. Little does she know, Louise has a long-standing feud with Gayle’s boyfriend and her niece will stop at nothing to break them apart. Calamity ensues as Bob attempts to impress his new buddy and the kids take action.",Tyree Dillihay,Nora Smith,2.26,22,1159158,"The Cook, the Steve, the Gayle, & Her Lover","Sun, Jan 17, 2016","When Bob throws a dinner party, Gayle takes advantage of the opportunity to introduce her new love interest to the family; a long-standing feud is revealed.",7.8,930,"https://m.media-amazon.com/images/M/MV5BMjMyNDk4MDE5M15BMl5BanBnXkFtZTgwMjIxNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5204516/?ref_=ttep_ep_6,FALSE,NA,NA
95,6,7,The Gene and Courtney Show,2016-02-14,2016,7.8,12,"Gene and Courtney get their big break when they are asked to be the new hosts of the morning announcements, but their romantic history threatens to get in the way. Meanwhile, Tina's attempt to play Cupid goes tragically awry when she volunteers to spear-head the Valentine's Day carnation fundraiser.",Chris Song,Rich Rinaldi,2.05,22,1159159,The Gene and Courtney Show,"Sun, Feb 14, 2016","Gene and Courtney are given the opportunity to be the new hosts of morning announcements, but their romantic history poses challenges; Tina's plan goes awry.",7.6,879,"https://m.media-amazon.com/images/M/MV5BMTU1NDUyNDc3N15BMl5BanBnXkFtZTgwNzQ0OTQwODE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5352800/?ref_=ttep_ep_7,FALSE,NA,NA
96,6,8,Sexy Dance Healing,2016-02-21,2016,8,10,"After Bob slips on the sidewalk, he is forced to take legal action in order to pay for surgery. In a turn of events, Bob finds himself under the care of Jairo, who promises to help him heal without a doctor. Meanwhile, the kids create a fake law firm to settle their personal discrepancies.",Chris Song & Bernard Derriman,Rich Rinaldi,2.29,22,1166082,Sexy Dance Healing,"Sun, Feb 21, 2016",Bob must take legal action after he slips on the sidewalk and needs to pay for surgery; Jairo promises to heal Bob without doctors; the kids fake a law firm.,7.6,883,"https://m.media-amazon.com/images/M/MV5BMjQwMzM3MzU0Nl5BMl5BanBnXkFtZTgwMzQ2NjExODE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5461660/?ref_=ttep_ep_8,FALSE,Steve Buscemi,Tom Innocenti
97,6,9,Sacred Couch,2016-03-06,2016,7.4,10,"After a family vote rules against buying a new couch during TV Night, Louise takes matters into her own hands. The Belchers take sides as they are forced to decide whether memories are enough to keep their family sofa. Will they take the Sofa Queen’s advice and learn to love a new couch?",Brian Loschiavo,Scott Jacobson,2.64,22,1166083,Sacred Couch,"Sun, Mar 6, 2016","Louise wants the family to get a new couch, but the family votes against it. So she decides to take care of the problem herself.",7.2,951,"https://m.media-amazon.com/images/M/MV5BNDM2NTJlMDItODRmMy00NGNkLWE4YmEtODllYTcwMzFkN2Y2XkEyXkFqcGc@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5527708/?ref_=ttep_ep_9,FALSE,Wanda Sykes,Sofa Queen
98,6,10,Lice Things Are Lice,2016-03-13,2016,7.4,9,"When Tina volunteers alongside Nurse Liz, she finds herself involved in the biggest scandal to hit Wagstaff: a lice infestation. Meanwhile, Bob makes improvements to the restaurant that end up driving customers away. Can the Belchers juggle both a crisis at the restaurant and lice?",Brian Loschiavo,Greg Thompson,2.28,22,1166084,Lice Things Are Lice,"Sun, Mar 13, 2016","When Tina volunteers alongside Nurse Liz, she finds herself involved in the biggest scandal to hit Wagstaff: a lice infestation. Meanwhile, Bob makes improvements to the restaurant that end up driving customers away. Can the Belchers juggle both a crisis at the restaurant and lice?",7.6,896,"https://m.media-amazon.com/images/M/MV5BMTg4MjE3OTYxNl5BMl5BanBnXkFtZTgwNTkxNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5509096/?ref_=ttep_ep_10,FALSE,NA,NA
99,6,11,House of 1000 Bounces,2016-04-03,2016,7.8,9,"When there is a bounce house crisis at Regular Sized Rudy’s birthday party, the Belcher kids devise a scheme to save the day. Meanwhile, Bob deals with an unexpected guest at the restaurant and is forced to come to terms with a longstanding fear.",Tyree Dillihay,Mike Benner,2.05,22,1176766,House of 1000 Bounces,"Sun, Apr 3, 2016","The Belcher kids hop into action after news of a bounce house crisis at a birthday party; Bob encounters a guest at the restaurant, fixing him to face a fear.",7.7,874,"https://m.media-amazon.com/images/M/MV5BOTdkMmYyMjItOGNhMS00MjVlLThmNTgtNGQ5ODFhNjZkZjcxXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt5555436/?ref_=ttep_ep_11,FALSE,NA,NA
100,6,12,Stand By Gene,2016-04-03,2016,8.3,10,"When Gene overhears talk about a mystical creature that lives nearby, he leads the Belcher kids and their friends on a journey to find it. Meanwhile, Linda's competitive nature takes over during downtime at the restaurant.",Tyree Dillihay,Jon Schroeder,1.99,22,1176767,Stand by Gene,"Sun, Apr 3, 2016","When Gene overhears talk about a mystical creature that lives nearby, he leads the Belcher kids and their friends on a journey to find it. Meanwhile, Linda's competitive nature takes over during downtime at the restaurant.",8.3,946,"https://m.media-amazon.com/images/M/MV5BYzk1ODAxZjMtNTFjOC00ZTQ5LWJjN2UtY2ViOTk4YzFmYTg1XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt5587988/?ref_=ttep_ep_12,FALSE,NA,NA
101,6,13,Wag the Hog,2016-04-10,2016,7.4,10,"When Bob's longtime friend, Critter, finds himself in jail for unpaid parking tickets, the Belchers decide to do what they can to help him out. Meanwhile, Linda takes on a babysitting job that becomes more work than she signed up for.",Brian Loschiavo,Holly Schlesinger,2.35,22,1176768,Wag the Hog,"Sun, Apr 10, 2016","The Belchers try to help Bob's friend, Critter, after he lands in jail for unpaid parking tickets; Linda takes a job as a babysitter.",7.6,841,"https://m.media-amazon.com/images/M/MV5BNTg1ODIzMjA2MV5BMl5BanBnXkFtZTgwNjEyNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5587990/?ref_=ttep_ep_13,FALSE,NA,NA
102,6,14,The Hormone-iums,2016-04-17,2016,7.4,9,"When Dottie Minerva comes down with a bad case of mono, Tina gets her shot as soloist of the Hormone-iums. But as she rehearses for the big assembly, Tina realizes that her role in the play could ruin her social status. Meanwhile, Linda strikes gold with a business plan that she thinks could make the Belchers rich.",Chris Song,Lizzie Molyneux & Wendy Molyneux,2.18,22,1177568,The Hormone-iums,"Sun, Apr 17, 2016","Tina gets her wish for Wagstaff fame, but soon regrets it. Linda pursues an improbable business venture, but struggles to get it off the ground.",7.5,825,"https://m.media-amazon.com/images/M/MV5BMjA1NjgwMjg0Nl5BMl5BanBnXkFtZTgwMDIyNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5606452/?ref_=ttep_ep_14,FALSE,Jonathan Slavin,Shoe Salesman
103,6,15,Pro Tiki/Con Tiki,2016-04-24,2016,7.2,10,"When Bob's friend, Warren, comes to town, he makes an offer to invest in the restaurant. Bob is thrilled that it finally could get a much-needed makeover, until he learns that Warren has some strong interior design choices in mind. Meanwhile, Warren's visit means one of the kids must give up their bedroom.",Brian Loschiavo,Jon Schroeder,2.35,22,1179036,Pro Tiki/Con Tiki,"Sun, Apr 24, 2016",Bob's friend Warren comes to visit and makes an offer to invest in the restaurant; Bob is hesitant when he finds out about Warren's interior design ideas.,7.4,865,"https://m.media-amazon.com/images/M/MV5BMTg1ODExMjAzM15BMl5BanBnXkFtZTgwMDA5MTg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5623906/?ref_=ttep_ep_15,FALSE,Chris Parnell,Warren Fitzgerald
104,6,16,Bye Bye Boo Boo,2016-05-08,2016,7.4,10,"When Louise hears that Boo Boo is leaving Boyz 4 Now, she enters a contest that could give Tina the chance to meet him. Meanwhile, Bob and Linda learn an interesting piece of history regarding the restaurant, which leads to tension between Bob and Jimmy Pesto.",Tyree Dillihay,Scott Jacobson,2.31,22,1191198,Bye Bye Boo Boo,"Sun, May 8, 2016",Louise enters a contest with the hopes that Tina will get to meet Boo Boo from Boyz 4 Now; Bob learns more about the history of the restaurant.,7.5,839,"https://m.media-amazon.com/images/M/MV5BMTcyNDM0MTY0MV5BMl5BanBnXkFtZTgwNDMwNjY4ODE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5662168/?ref_=ttep_ep_16,FALSE,Lauren Lapkus,Krissy / Krissy's Mom
105,6,17,The Horse Rider-er,2016-05-15,2016,7.8,10,"After finally convincing Bob and Linda to send her to horse camp, Tina realizes she has to part ways with Jericho, her imaginary horse. Meanwhile, Linda decides to create a restaurant camp in an attempt to make things fair for Gene and Louise.",Tyree Dillihay,Nora Smith,2.27,22,1192370,The Horse Rider-er,"Sun, May 15, 2016","Tina manages to convince her parents to send her to horse camp; but in doing so, she realizes she must end her relationship with her imaginary horse, Jericho.",7.8,884,"https://m.media-amazon.com/images/M/MV5BMjMyNzg2NjMzMV5BMl5BanBnXkFtZTgwMTQyNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5662170/?ref_=ttep_ep_17,FALSE,Paul Rudd,Jericho
106,6,18,Secret Admiral-irer,2016-05-22,2016,8.3,10,Tina's ideas of love and romance are tested and Bob makes new friends.,Brian Loschiavo,Holly Schlesinger & H. Jon Benjamin,2.23,22,1193865,Secret Admiral-irer,"Sun, May 22, 2016","Tina's ideas of love and romance are tested when she volunteers at a nursing home to earn her next Thunder Girls badge. Meanwhile, Bob makes new friends who lead him to make some questionable choices.",7.8,867,"https://m.media-amazon.com/images/M/MV5BMjM3MTQ2MTkxM15BMl5BanBnXkFtZTgwMDQyNDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt5662172/?ref_=ttep_ep_18,FALSE,Cloris Leachman,Meryl
107,6,19,"Glued, Where's My Bob?",2016-05-22,2016,8.5,10,Bob gets glued to the toilet in the restaurant as a result of a prank gone wrong by the kids.,Bernard Derriman,Steven Davis & Kelvin Yu,2.04,22,1193866,"Glued, Where's My Bob?","Sun, May 22, 2016",The Belcher children are involved in a goop war prank that takes place on the same day that a journalist is visiting the restaurant to write a profile.,9,1500,"https://m.media-amazon.com/images/M/MV5BYjU5OTA3MWQtNjc1NC00NzNhLTgwMDMtMmNkZWZlYmU3ZmM1XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt5662174/?ref_=ttep_ep_19,FALSE,NA,NA
108,7,1,Flu-ouise,2016-09-25,2016,8.1,14,"When the youngest Belcher comes down with an epic case of the flu, Linda has a mishap as she tries to deliver Louise's favorite toy to her daughter's bedside. After Louise vows that she will never forgive her family for their mistake, she falls into a wild fever dream filled with familiar faces, zany musical numbers and a crazy adventure.",Tyree Dillihay,Nora Smith,2.6,22,1225225,Flu-ouise,"Sun, Sep 25, 2016","Louise comes down with the flu and falls into a wild fever dream filled with familiar faces, zany musical numbers and a crazy adventure.",8.1,1200,"https://m.media-amazon.com/images/M/MV5BMTU4ODEzNjc4M15BMl5BanBnXkFtZTgwMjEzMjUxMDI@._V1_QL75_UX500_CR0,14,500,281_.jpg",https://www.imdb.com/title/tt5096560/?ref_=ttep_ep_1,FALSE,Amy Schumer,Young Lady
109,7,2,Sea Me Now,2016-10-09,2016,8.2,13,Teddy tries to impress his ex-wife by organizing a day trip on his newly refurbished boat; Tina attempts to prove she's responsible enough to have a cellphone by taking care of Bob's prized eraser.,Chris Song,Dan Fybel,2.79,22,1225226,Sea Me Now,"Sun, Oct 9, 2016",Teddy tries to impress his ex-wife by organizing a day trip on his newly refurbished boat; Tina attempts to prove she's responsible enough to have a cellphone by taking care Bob's prized eraser.,7.8,940,"https://m.media-amazon.com/images/M/MV5BYzk3YzUyOTEtNmI2Zi00MDdiLTk1ZmEtZGMxYjFiYTYzMDg3XkEyXkFqcGc@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt6104384/?ref_=ttep_ep_2,FALSE,NA,NA
110,7,3,Teen-A-Witch,2016-10-23,2016,7.9,12,"With Halloween quickly approaching, Tina reveals her brilliant idea that will finally win her first place in the annual costume contest. When Tammy steals her idea, Tina is forced to seek the help of Mr. Ambrose, who leads her to alternate and other-worldly methods of winning. Meanwhile, Bob is on a mission to figure out who is stealing his perfectly crafted pumpkins.",Chris Song,Holly Schlesinger,3.01,22,1230337,Teen-a-Witch,"Sun, Oct 23, 2016","When Tammy steals her idea for winning the annual Halloween costume contest, Tina turns to witchcraft.",7.6,938,"https://m.media-amazon.com/images/M/MV5BMjI4OTQxMzIwNl5BMl5BanBnXkFtZTgwOTExNzY0MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt6114346/?ref_=ttep_ep_3,TRUE,NA,NA
111,7,4,"They Serve Horses, Don't They?",2016-11-06,2016,8.2,12,The Belchers find themselves involved in a full-blown investigation after Bob secures a new meat provider.,Tyree Dillihay,Steven Davis & Kelvin Yu,2.42,22,1237249,"They Serve Horses, Don't They?","Sun, Nov 6, 2016",The Belchers find themselves involved in a full-blown investigation when Bob secures a new meat provider who claims to save money on every order.,7.6,892,"https://m.media-amazon.com/images/M/MV5BMTY5MDIwNDA3M15BMl5BanBnXkFtZTgwOTA0NDg1MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt6146960/?ref_=ttep_ep_4,FALSE,NA,NA
112,7,5,"Larger Brother, Where Fart Thou?",2016-11-20,2016,8,11,"When Tina has a mishap that lands her in detention, Bob and Linda don't have a babysitter for their other kids, forcing them to let Gene and Louise stay at home alone. With the house to themselves, the younger Belchers find themselves in a sticky situation, while Bob and Linda get into surprising trouble with their accountant.",Chris Song,Lizzie Molyneux & Wendy Molyneux,2.35,22,1241370,"Larger Brother, Where Fart Thou?","Sun, Nov 20, 2016","Gene and Louise are left home alone when Tina ends up in detention, while Bob and Linda get into trouble with their accountant.",8.1,942,"https://m.media-amazon.com/images/M/MV5BNmI3ZmI3M2YtZTY4ZS00OTNjLTgzYjAtZWMwZjU4ZGQ2YTE2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt6190702/?ref_=ttep_ep_5,FALSE,Erik Griffin,Gerald
113,7,6,The Quirk-ducers,2016-11-21,2016,8.6,11,"When Mr. Frond’s annual play threatens to ruin the half day before Thanksgiving, Gene and Louise decide they need to sabotage it in order to save their long weekend. Unknowingly, Tina provides her holiday fan fiction as the subject matter and the kids get to work on their own version of the play. Meanwhile, Linda finds a potato with a striking resemblance to her late grandfather.",Mauricio Pardo,Steven Davis & Kelvin Yu,2.46,22,1241048,The Quirk-ducers,"Sun, Nov 20, 2016",The Belcher kids produce their own version of the annual Thanksgiving play and Linda finds a potato that resembles her late grandfather.,8,927,"https://m.media-amazon.com/images/M/MV5BMTU3MTA4MTExOV5BMl5BanBnXkFtZTgwMzU2MDY2MDI@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt6190772/?ref_=ttep_ep_6,TRUE,Jeff Fischer; David Zyler,Walla; Walla
