magazine,year,month,volume,issue,location,title,author,note,start_page,page_count
Heavy Metal,1980,July,4,4,p.50-57,The Alchemist Supreme: Part Three,Julio Ribera and Christian Godard,NA,50,8
Heavy Metal,1980,July,4,4,p.58-63,Rock Opera: The Stardancers,Rod Kierkegaard Jr.,NA,58,6
Heavy Metal,1980,July,4,4,p.65,Changes: The Meridian Pilgrimage,MattHowarth and Julian Kernes,NA,65,1
Heavy Metal,1980,July,4,4,p.66-67,Changes: The Cold Front,Matt Howarthand Julian Kernes,NA,66,2
Heavy Metal,1980,July,4,4,p.68-69,Changes: Gun,Matt Howarth,NA,68,2
Heavy Metal,1980,July,4,4,p.70-72,Changes: The Rub,Matt Howarth,NA,70,3
Heavy Metal,1980,July,4,4,p.73,A Seventies Retrospective: TerrorismComix,Howard Cruse,NA,73,1
Heavy Metal,1980,July,4,4,p.74,A Seventies Retrospective: Random ViolenceComix,Howard Cruse,NA,74,1
Heavy Metal,1980,July,4,4,p.75,A Seventies Retrospective: SalvationComix,Howard Cruse,NA,75,1
Heavy Metal,1980,July,4,4,p.78-85,Kraaoo,Benot Sokal,NA,78,8
Heavy Metal,1980,July,4,4,p.88-96,2005,Dick Matena,NA,88,9
Heavy Metal,1980,July,4,4,Back Cover,NA,"""Catch A Star"" - Tito Salomoni",NA,97,1
Heavy Metal,1980,August,4,5,Cover,NA,"""Fun Turns Into Love"" - Jim Cherry",NA,0,1
Heavy Metal,1980,August,4,5,p.02,Illustration,Jim Burns,NA,2,1
Heavy Metal,1980,August,4,5,p.03,Illustration,Jim Burns,NA,3,1
Heavy Metal,1980,August,4,5,p.03,...Forty-One...,Ted White,NA,3,1
Heavy Metal,1980,August,4,5,"p.04, 36",Muzick,37 - Lou Stathis and Matt Howarth,NA,4,2
Heavy Metal,1980,August,4,5,"p.04,38-39",Comix,Jay Kinney and Bob Smith,NA,4,3
Heavy Metal,1980,August,4,5,"p.05, 70",Flix: DementiaMy Name In Sheboygan,72 - Bhob Stewart,NA,5,2
Heavy Metal,1980,August,4,5,"p.05, 34",SF,35 - Steve Brownand Dan Steffan,NA,5,2
Heavy Metal,1980,August,4,5,"p.05, 40",Comix Int'l,44 - Maurice Horn,NA,5,2
Heavy Metal,1980,August,4,5,"p.06, 25",The Moebius Interview,Diana K. Bletter,NA,6,2
Heavy Metal,1980,August,4,5,p.07-24,Shore Leave: Part2,"Jean ""Moebius"" Giraud",NA,7,18
Heavy Metal,1980,August,4,5,p.27-32,The Adventures Of Professor ThintwhistleAnd His Incredible Aether Flyer: Chapter Seven,Steve Stiles and RichardLupoff,NA,27,6
Heavy Metal,1980,August,4,5,"p.33, 96",Chain Mail,"""Chain Mail""",NA,33,2
Heavy Metal,1980,August,4,5,p.33,Chain Mail: Illustration,JohnWorkman,NA,33,1
Heavy Metal,1980,August,4,5,p.34-35,The Bus,Paul Kirchner,NA,34,2
Heavy Metal,1980,August,4,5,p.36-38,Li'l Tiny Comics#2,Rick Veitch,NA,36,3
Heavy Metal,1980,August,4,5,p.39-44,Rock Opera,Rod Kierkegaard Jr.,NA,39,6
Heavy Metal,1980,August,4,5,p.45-60,Salammb,Philippe Druillet and Gustave Flaubert,NA,45,16
Heavy Metal,1980,August,4,5,p.64,TheMysteries Of Eroticism #2,"Jean ""Moebius"" Giraud",NA,64,1
Heavy Metal,1980,August,4,5,p.65,Changes: Cloud,Matt Howarth and Julian Kernes,NA,65,1
Heavy Metal,1980,August,4,5,p.66-67,Changes: Target: Boche,MattHowarth,NA,66,2
Heavy Metal,1980,August,4,5,p.68-69,Changes: Hero-Worship,Matt Howarth,NA,68,2
Heavy Metal,1980,August,4,5,p.70-72,NorhearthFair,Larry Elmore,NA,70,3
Heavy Metal,1980,August,4,5,p.73-87,Progress!: Part Two,Enki Bilaland Pierre Christin,NA,73,15
Heavy Metal,1980,August,4,5,p.89-95,The Alchemist Supreme: Part Four,JulioRibera and Christian Godard,NA,89,7
Heavy Metal,1980,August,4,5,Back Cover,NA,"""Not So Heavy Metal"" - Michel Guranger",NA,96,1
Heavy Metal,1980,September,4,6,Cover,NA,"""It Came From Mount Saint Helens"" - Robert Adragna",NA,0,1
Heavy Metal,1980,September,4,6,p.02-03,Illustration,Ian Craig,NA,2,2
Heavy Metal,1980,September,4,6,p.03,...Forty-Two,Ted White,NA,3,1
Heavy Metal,1980,September,4,6,"p.04,96",Chain Mail,"""Chain Mail""",NA,4,2
Heavy Metal,1980,September,4,6,"p.06, 70",SF,72 - Steve Brown and Bill Workman,NA,6,2
Heavy Metal,1980,September,4,6,"p.06,79-83",Flix,Bhob Stewart,NA,6,6
Heavy Metal,1980,September,4,6,"p.06, 31",Comix,32 - Jay Kinney,NA,6,2
Heavy Metal,1980,September,4,6,"p.07,75-79",Muzick,Lou Stathis and Fredrick Armstrong,NA,7,6
Heavy Metal,1980,September,4,6,"p.07, 74",Sidebar: Eurorok For The '80s,75- Ted White,NA,7,2
Heavy Metal,1980,September,4,6,"p.08, 14, 96",The DruilletInterview,Brad Balfour,NA,8,3
Heavy Metal,1980,September,4,6,p.09-13,Salammb,Philippe Druillet andGustave Flaubert,NA,9,5
Heavy Metal,1980,September,4,6,p.16-24,The Alchemist Supreme: Part Five,Julio Riberaand Christian Godard,NA,16,9
Heavy Metal,1980,September,4,6,p.25-30,The Adventures Of Professor ThintwhistleAnd His Incredible Aether Flyer: Chapter Eight,Steve Stiles and Richard Lupoff,NA,25,6
Heavy Metal,1980,September,4,6,p.31,The Bus,Paul Kirchner,NA,31,1
Heavy Metal,1980,September,4,6,p.32,The World Of Fif,JacquesRochberny,NA,32,1
Heavy Metal,1980,September,4,6,p.33-40,Into The Breach,John Shirley and Leopoldo Duraona,NA,33,8
Heavy Metal,1980,September,4,6,p.41-44,Construction Project,Michael Gross,NA,41,4
Heavy Metal,1980,September,4,6,p.45-48,Zeitgeist,Greg Terpenning and Ernie Coln,NA,45,4
Heavy Metal,1980,September,4,6,p.49-64,Progress!: Part Three,Enki Bilal and Pierre Christin,NA,49,16
Heavy Metal,1980,September,4,6,p.65-69,Changes: A Low Profile,MattHowarth and W. E. Rittenhouse,NA,65,5
Heavy Metal,1980,September,4,6,p.70-71,Klee,Markus Klee,NA,70,2
Heavy Metal,1980,September,4,6,p.72,The Bus,Paul Kirchner,NA,72,1
Heavy Metal,1980,September,4,6,p.74-77,Under The Influence Of A U.F.O.,Howard Cruse,NA,74,4
Heavy Metal,1980,September,4,6,p.78-83,Rock Opera,Rod Kierkegaard Jr.,NA,78,6
Heavy Metal,1980,September,4,6,p.86-95,Shaman,Paul Kirchner,NA,86,10
Heavy Metal,1980,September,4,6,Back Cover,NA,"""Who's The Fairest Of Them All?"" - BerniWrightson",NA,96,1
Heavy Metal,1980,October,4,7,Cover,NA,"""Love 'Em Tender"" - Liz Bijl",NA,0,1
Heavy Metal,1980,October,4,7,p.02-03,Nash The Slash,Jim Marchese,NA,2,2
Heavy Metal,1980,October,4,7,"p.03, 96",...Forty-Three...,Ted White,NA,3,2
Heavy Metal,1980,October,4,7,p.04,ChainMail,"""ChainMail""",NA,4,1
Heavy Metal,1980,October,4,7,"p.06, 71",Comix: Rockin' Comics,"72 - Jay Kinney, Hunt Emerson,and Savage Pencil",NA,6,2
Heavy Metal,1980,October,4,7,"p.06, 81",Flix,"83, 96 - Bhob Stewart and Marie Savorito",NA,6,2
Heavy Metal,1980,October,4,7,"p.06,76-80",SF,Steve Brown and Maggie Hirsch,NA,6,6
Heavy Metal,1980,October,4,7,"p.07, 67",Muzick,68 -Lou Stathis and Jerry Tiritilli,NA,7,2
Heavy Metal,1980,October,4,7,"p.07, 69",Sidebar: PerfectMusic,"71 - Ted ""Dr. Progresso"" White",NA,7,2
Heavy Metal,1980,October,4,7,p.09-16,The Legend Of The Magic ToneBox,Angus McKie,NA,9,8
Heavy Metal,1980,October,4,7,p.18-24,Rock City,"Jean ""Moebius"" Giraud",NA,18,7
Heavy Metal,1980,October,4,7,p.25-36,Space Jive,Alain Voss,NA,25,12
Heavy Metal,1980,October,4,7,p.38-47,Trashman: Agent Of The 6th Int'rnational,"Manuel ""Spain"" Rodriguez and Algernon Backwash",NA,38,10
Heavy Metal,1980,October,4,7,p.48-49,Rock La Mickson,Florence Cestac,NA,48,2
Heavy Metal,1980,October,4,7,p.50-55,Worlds Among Us,Tom Yeatesand Jimi Hendrix,NA,50,6
Heavy Metal,1980,October,4,7,p.56-63,A Lou Rocky Adventure: The Theft Of The GoldenHit,Dominique H,NA,56,8
Heavy Metal,1980,October,4,7,p.65-66,Changes: Frequency One Dossier,Matt Howarth,NA,65,2
Heavy Metal,1980,October,4,7,p.67-69,Jopo De Pojo: I'll Play The Blues For You,Joost Swarte,NA,67,3
Heavy Metal,1980,October,4,7,p.70,Jopo De Pojo,Joost Swarte,NA,70,1
Heavy Metal,1980,October,4,7,p.70,Jopo De Pojo,JoostSwarte,NA,70,1
Heavy Metal,1980,October,4,7,p.71,Jopo De Pojo,Joost Swarte,NA,71,1
Heavy Metal,1980,October,4,7,p.71,Jopo De Pojo,JoostSwarte,NA,71,1
Heavy Metal,1980,October,4,7,p.73-75,Lead Guitar,Philippe Druillet,NA,73,3
Heavy Metal,1980,October,4,7,p.76-81,RockOpera,Rod Kierkegaard Jr.,NA,76,6
Heavy Metal,1980,October,4,7,p.82-83,Let It Be,Ted White and ErnieColon,NA,82,2
Heavy Metal,1980,October,4,7,p.86-95,Heartbreak Hotel,Dick Matena,reprinted in The BestOf #2 1986,86,10
Heavy Metal,1980,October,4,7,Back Cover,NA,"""So Fine"" - Jim Cherry",NA,96,1
Heavy Metal,1980,November,4,8,Cover,NA,"""Warmth"" - Hajime Sorayama",NA,0,1
Heavy Metal,1980,November,4,8,p.02-03,Illustration,Wotipka,NA,2,2
Heavy Metal,1980,November,4,8,p.03,...Forty-Four,Ted White,NA,3,1
Heavy Metal,1980,November,4,8,p.04,Chain Mail,"""Chain Mail""",NA,4,1
Heavy Metal,1980,November,4,8,"p.06,60-61",Sidebar: Murk In The Crystal Balls,Robert Silverberg and RichardAdmiral,NA,6,3
Heavy Metal,1980,November,4,8,"p.06, 56",Muzick,59 - Lou Stathis and Ebet Roberts,NA,6,2
Heavy Metal,1980,November,4,8,"p.06,61-64",SF,Steve Brown,NA,6,5
Heavy Metal,1980,November,4,8,"p.07, 71",Comix,73 - Jay Kinney,NA,7,2
Heavy Metal,1980,November,4,8,"p.07, 74",Comix Int'l,78- Maurice Horn,NA,7,2
Heavy Metal,1980,November,4,8,p.07-09,Flix: Heavy Metal On Film,Bhob Stewart and Mike Ploog,NA,7,3
Heavy Metal,1980,November,4,8,p.10-15,Blind Citadel,"Jean ""Moebius"" Giraud",NA,10,6
Heavy Metal,1980,November,4,8,p.16-23,Awaken,Martin Springett and James Waley,NA,16,8
Heavy Metal,1980,November,4,8,p.24,TheBookshelf,Mike William Kaluta,NA,24,1
Heavy Metal,1980,November,4,8,p.25-28,Changes: The Rub: Part Two,Matt Howarth,NA,25,4
Heavy Metal,1980,November,4,8,p.29,Changes: Interlude,Matt Howarth and Randy Tusone,NA,29,1
Heavy Metal,1980,November,4,8,p.30-32,Changes: Duologue,Matt Howarth,NA,30,3
Heavy Metal,1980,November,4,8,p.34-41,Sans Family,Nicole Claveloux,reprinted in The Best Of #2 1986,34,8
Heavy Metal,1980,November,4,8,p.44-49,MetropolitanOpera,"Philippe ""Caza"" Cazamayou",NA,44,6
Heavy Metal,1980,November,4,8,p.51-55,The Prophet And The Dictator,Paul Poirier,NA,51,5
Heavy Metal,1980,November,4,8,p.57-59,The Quest: Chapter One,Derek Parks-Carter,NA,57,3
Heavy Metal,1980,November,4,8,p.60-61,Little Tiny Comics #3,Rick Veitch,NA,60,2
Heavy Metal,1980,November,4,8,p.62-64,Interference,Jean Teul,NA,62,3
Heavy Metal,1980,November,4,8,p.65-70,The Adventures Of Professor Thintwhistle AndHis Incredible Aether Flyer: Chapter Nine,Steve Stiles and Richard Lupoff,NA,65,6
Heavy Metal,1980,November,4,8,p.71,The Bus,Paul Kirchner,NA,71,1
Heavy Metal,1980,November,4,8,p.72,The Bus,Paul Kirchner,NA,72,1
Heavy Metal,1980,November,4,8,p.73-78,Rock Opera,Rod Kierkegaard Jr.,NA,73,6
Heavy Metal,1980,November,4,8,p.79-83,Red-Beard And TheBrain Pirate,"Jean ""Moebius"" ""Gyr"" Giraud",reprinted in The Best Of #2 1986,79,5
Heavy Metal,1980,November,4,8,p.84-95,Progress!: Conclusion,Enki Bilal and Pierre Christin,NA,84,12
Heavy Metal,1980,November,4,8,p.96,Standing On The Corner,Dan Steffan,NA,96,1
Heavy Metal,1980,November,4,8,Back Cover,NA,"""Number 13 At Hialeah""- Chris Achillos",NA,97,1
Heavy Metal,1980,December,4,9,Cover,NA,"""Elle"" - Chris Achillos",NA,0,1
Heavy Metal,1980,December,4,9,p.03,Editorial,Leonard Mogel,NA,3,1
Heavy Metal,1980,December,4,9,p.05,ChainMail,"""ChainMail""",NA,5,1
Heavy Metal,1980,December,4,9,"p.06, 63",Muzick,64 - Lou Stathis and Jerry Tiritilli,NA,6,2
Heavy Metal,1980,December,4,9,"p.06,74-79",SF,Steve Brown and Charles Stevenson,NA,6,7
Heavy Metal,1980,December,4,9,"p.07, 65",Comix,66 - Jay Kinney,NA,7,2
Heavy Metal,1980,December,4,9,"p.07, 70",Flix,72 - Bhob Stewart and Geoff Dunbar,NA,7,2
Heavy Metal,1980,December,4,9,p.09-19,Bloodstar,Robert Ervin Howard and Richard Corben,NA,9,11
Heavy Metal,1980,December,4,9,p.23-26,Man'sBest Friend,Dick Matena,NA,23,4
Heavy Metal,1980,December,4,9,p.27-32,The Adventures Of Professor ThintwhistleAnd His Incredible Aether Flyer: Chapter Ten,Richard Lupoff and SteveStiles,NA,27,6
Heavy Metal,1980,December,4,9,p.33-36,Mary Quite Contrary,Ted White and Terry Lindall,NA,33,4
Heavy Metal,1980,December,4,9,p.38-46,"What Is Reality, Papa?",Julio Ribera and Christian Godard,NA,38,9
Heavy Metal,1980,December,4,9,p.48-49,Double Evasion,"Jean ""Moebius"" Giraud",NA,48,2
Heavy Metal,1980,December,4,9,p.50-60,Valentina:Reflection,Guido Crepax,NA,50,11
Heavy Metal,1980,December,4,9,p.61-62,Heavy Metal Interview: Guido Crepax,Diana K. Bletter,NA,61,2
Heavy Metal,1980,December,4,9,p.62-63,Li'l Tiny Comix,Rick Veitch,NA,62,2
Heavy Metal,1980,December,4,9,p.64-65,Klee,Markus Klee,NA,64,2
Heavy Metal,1980,December,4,9,p.66,The Bus,Paul Kirchner,NA,66,1
Heavy Metal,1980,December,4,9,p.67-68,Changes:Interlude Cont.,"Matt Howarth, Tony Sciarra, and Julian Kernes",NA,67,2
Heavy Metal,1980,December,4,9,p.69,Changes: Laser Chic,Matt Howarth,NA,69,1
Heavy Metal,1980,December,4,9,p.70-72,The Quest: Chapter Two,Derek Parks-Carter,NA,70,3
Heavy Metal,1980,December,4,9,p.74-79,Rock Opera,Rod Kierkegaard Jr.,NA,74,6
Heavy Metal,1980,December,4,9,p.82-95,The Cutter Of The Fog,Franois Schuiten and Luc Schuiten,reprintedin The Best Of #2 1986,82,14
Heavy Metal,1980,December,4,9,p.96,Coming Next Month,"""Coming Next Month""",NA,96,1
Heavy Metal,1980,December,4,9,Back Cover,NA,"""Finally""- Alex Nio",NA,97,1
Heavy Metal,1981,January,4,10,Cover,NA,"""...And One More Makes Three"" - Robert Burger",NA,0,1
Heavy Metal,1981,January,4,10,p.02-03,Illustration,Chris Moore,NA,2,2
Heavy Metal,1981,January,4,10,p.04,Chain Mail,"""Chain Mail""",NA,4,1
Heavy Metal,1981,January,4,10,"p.05, 96",Earth IsStrange Enough,Robert Silverberg and Susanne Lee Houfek,NA,5,2
Heavy Metal,1981,January,4,10,p.06-13,Bloodstar,Robert Ervin Howard and Richard Corben,NA,6,8
Heavy Metal,1981,January,4,10,p.16-23,Valentina: Reflection,Guido Crepax,NA,16,8
Heavy Metal,1981,January,4,10,"p.25-34, 65","Bang, Hah",75 - Don Wood,NA,25,11
Heavy Metal,1981,January,4,10,p.35-45,"What Is Reality, Papa?",Julio Ribera and Christian Godard,NA,35,11
Heavy Metal,1981,January,4,10,p.52,Take AnotherLook: Meet This Month's Cover Artists,"""Take AnotherLook: Meet This Month's Cover Artists""",NA,52,1
Heavy Metal,1981,January,4,10,p.53-64,Valerian: Time-SpaceAgent: The Ambassador Of The Shadows,"Pierre Christin, Jean-Claude Mzires,and Evelyne Tran-L",NA,53,12
Heavy Metal,1981,January,4,10,p.76-79,Rock Opera,Rod Kierkegaard Jr.,NA,76,4
Heavy Metal,1981,January,4,10,p.81-84,There Is A Prince Charming On Phenixon,"Jean ""Moebius"" Giraud",NA,81,4
Heavy Metal,1981,January,4,10,p.85-95,Woman,"Jean ""Jronaton"" Torton",NA,85,11
Heavy Metal,1981,January,4,10,p.96,Coming Next Month,"""Coming Next Month""",NA,96,1
Heavy Metal,1981,February,4,11,Cover,NA,"""John And Cathy"" - Jim Burns",NA,0,1
Heavy Metal,1981,February,4,11,p.02-03,Illustration,Romas Kukalis,NA,2,2
Heavy Metal,1981,February,4,11,"p.04, 96",Civilian Defense,"William Seward Burroughs, BradBalfour, and Richard Admiral",NA,4,2
Heavy Metal,1981,February,4,11,p.05-12,Bloodstar,"Robert Ervin Howard,John Jakes, John Pocsik, and Richard Corben",NA,5,8
Heavy Metal,1981,February,4,11,p.13-23,"What Is Reality,Papa?",Julio Ribera and Christian Godard,NA,13,11
Heavy Metal,1981,February,4,11,p.24-36,The Horny Goof,"Jean""Moebius"" Giraud and Ted Mann",NA,24,13
Heavy Metal,1981,February,4,11,p.37-41,K. O.,Alain Voss,NA,37,5
Heavy Metal,1981,February,4,11,p.42-57,Salammb,Philippe Druillet and Gustave Flaubert,NA,42,16
Heavy Metal,1981,February,4,11,p.59-64,GallerySection: Yesterday's Lily: Jeffrey Jones,Eric Kimball,NA,59,6
Heavy Metal,1981,February,4,11,p.65-74,TheHorny Goof: Part II,"Jean ""Moebius"" Giraud and Ted Mann",NA,65,10
Heavy Metal,1981,February,4,11,p.75,The Bus,Paul Kirchner,NA,75,1
Heavy Metal,1981,February,4,11,p.76-78,The Tip Of The Iceberg At Lucca 14,Rick Veitch,NA,76,3
Heavy Metal,1981,February,4,11,p.92-95,Rock Opera,"Rod ""RonaldW."" Kierkegaard Jr.",NA,92,4
Heavy Metal,1981,February,4,11,p.96,Coming,"""Coming""",NA,96,1
Heavy Metal,1981,February,4,11,Back Cover,NA,"""John And Cathy""- Jim Burns",NA,97,1
Heavy Metal,1981,March,4,12,Cover,NA,"""God Jokes"" - Abdul Mati Klarwein",NA,0,1
Heavy Metal,1981,March,4,12,p.04,Death Arrives,Rick Bryant,NA,4,1
Heavy Metal,1981,March,4,12,p.06,Chain Mail,Tony Trauring,NA,6,1
Heavy Metal,1981,March,4,12,p.07-16,Bloodstar,"Robert Ervin Howard, John Jakes, John Pocsik, and Richard Corben",NA,7,10
Heavy Metal,1981,March,4,12,p.18-24,"What Is Reality, Papa?",Julio Ribera and Christian Godard,NA,18,7
Heavy Metal,1981,March,4,12,p.25-28,Edward In Love,Dominique H,NA,25,4
Heavy Metal,1981,March,4,12,p.29-32,Changes: Red,"Matt Howarth,Tony Sciarra, and D. M. Kister",NA,29,4
Heavy Metal,1981,March,4,12,p.33,Changes: Arsenic & Silken Holes,Matt Howarth,NA,33,1
Heavy Metal,1981,March,4,12,p.34-35,Fear Not Your Enemies,Harlan Ellison,NA,34,2
Heavy Metal,1981,March,4,12,p.36-51,Salammb,Philippe Druillet and Gustave Flaubert,NA,36,16
Heavy Metal,1981,March,4,12,p.54-64,Valerian:Time-Space Agent: The Ambassador Of The Shadows,Pierre Christin and Jean-ClaudeMzires,NA,54,11
Heavy Metal,1981,March,4,12,p.65-70,Tex Arcana,John Findley,NA,65,6
Heavy Metal,1981,March,4,12,p.71-72,TheMan With The Suitcase,Jean Teul,NA,71,2
Heavy Metal,1981,March,4,12,p.73-90,Milady 3000: The PrinceOf Equilibrium And A Serene Galaxy,"Roberto ""Magnus"" Raviola",NA,73,18
Heavy Metal,1981,March,4,12,p.92-95,Rock Opera,Rod Kierkegaard Jr.,NA,92,4
Heavy Metal,1981,March,4,12,p.96,The Empire Grows Back,Don Butler,NA,96,1
Heavy Metal,1981,March,4,12,Back Cover,NA,"""I See Spots"" - Jean ""Jronaton""Torton",NA,97,1
Heavy Metal,1981,April,5,1,Cover,NA,"""Sybil"" - Esteban Maroto",NA,0,1
Heavy Metal,1981,April,5,1,p.02-03,Illustration,PhilTrumbo,NA,2,2
Heavy Metal,1981,April,5,1,p.04-05,Art And The Nazis,"Brad Balfour, Arthur Kampf, and JuliusPaul Junghanns",NA,4,2
Heavy Metal,1981,April,5,1,p.07-24,Bloodstar,"Robert Ervin Howard, John Jakes,John Pocsik, and Richard Corben",NA,7,18
Heavy Metal,1981,April,5,1,p.25-30,Tex Arcana: Part 2,John Findley,NA,25,6
Heavy Metal,1981,April,5,1,p.31-32,Changes: Storm Warning,Matt Howarth and D. M. Kister,NA,31,2
Heavy Metal,1981,April,5,1,p.33-35,Changes: The Rub (The Last Straw),Matt Howarth and D. M. Kister,NA,33,3
Heavy Metal,1981,April,5,1,"p.36-37,46-47",The Heavy Metal Interview: Julio Ribera,Brad Balfourand Amy Seissler,NA,36,4
Heavy Metal,1981,April,5,1,p.38-45,"What Is Reality, Papa?",Julio Ribera andChristian Godard,NA,38,8
Heavy Metal,1981,April,5,1,p.48-59,Valerian: Time-Space Agent: The Ambassador OfThe Shadows,Pierre Christin and Jean-Claude Mzires,NA,48,12
Heavy Metal,1981,April,5,1,p.63-72,"Good-Bye,Soldier!",Ricardo Barreiro and Juan Gimnez,reprinted in Greatest Hits 1994,63,10
Heavy Metal,1981,April,5,1,p.74-81,Stories From London,Harry North,reprinted in The BestOf #2 1986,74,8
Heavy Metal,1981,April,5,1,p.84-91,Dangerous Curve,"Philippe ""Caza"" Cazamayou",reprintedin The Best Of #2 1986,84,8
Heavy Metal,1981,April,5,1,p.92-95,Rock Opera,Rod Kierkegaard Jr.,NA,92,4
Heavy Metal,1981,April,5,1,p.96,Coming Next Month,John Workman,NA,96,1
Heavy Metal,1981,May,5,2,Cover,NA,"""Enter Adam"" - Enrich Torres",NA,0,1
Heavy Metal,1981,May,5,2,p.02-03,Ringing In The Sheep,Dzintars Mezulis,NA,2,2
Heavy Metal,1981,May,5,2,p.04-05,Immortality,"William Seward Burroughs,Anthony Scibelli, and James Dean",NA,4,2
Heavy Metal,1981,May,5,2,p.06,Editorial,"""Editorial""",NA,6,1
Heavy Metal,1981,May,5,2,p.06-07,ChainMail,"""ChainMail""",NA,6,2
Heavy Metal,1981,May,5,2,p.08-23,Bloodstar,"Robert Ervin Howard, John Jakes, John Pocsik,and Richard Corben",NA,8,16
Heavy Metal,1981,May,5,2,p.24-29,Tex Arcana: Part Three,John Findley,NA,24,6
Heavy Metal,1981,May,5,2,p.30-32,Pillars Of P-11507,Paul Kirchner,NA,30,3
Heavy Metal,1981,May,5,2,p.33-45,The NikopolTrilogy: The Immortals' Fete,Enki Bilal,NA,33,13
Heavy Metal,1981,May,5,2,p.48-59,Cody Starbuck,HowardChaykin,NA,48,12
Heavy Metal,1981,May,5,2,p.60-63,Gallery: The Maker: Dzintars Mezulis,Brad Balfour,NA,60,4
Heavy Metal,1981,May,5,2,p.65-66,Changes: Audition,Matt Howarth,NA,65,2
Heavy Metal,1981,May,5,2,p.67-68,Changes: Take:2,Matt Howarth and D. M. Kister,NA,67,2
Heavy Metal,1981,May,5,2,p.69,Changes: Last-Minute ButterfliesOr 'In Den Garten Pharaos',Matt Howarth,NA,69,1
Heavy Metal,1981,May,5,2,p.70-74,1:09,CharlesWaller,NA,70,5
Heavy Metal,1981,May,5,2,p.75-81,Valentina: Reflection,Guido Crepax,NA,75,7
Heavy Metal,1981,May,5,2,p.83-91,A Mudwog Tale...: The Toll Bridge,Arthur Suydam and Joseph Koch,reprintedin September 2005,83,9
Heavy Metal,1981,May,5,2,p.92-95,Rock Opera,Rod Kierkegaard Jr.,NA,92,4
Heavy Metal,1981,May,5,2,p.96,The Bus,Paul Kirchner,NA,96,1
Heavy Metal,1981,May,5,2,p.96,Coming Next Month,"""Coming Next Month""",NA,96,1
Heavy Metal,1981,May,5,2,Back Cover,NA,"""CodyStarbuck"" - Howard Victor Chaykin",NA,97,1
Heavy Metal,1981,June,5,3,Cover,NA,"""The Birdwoman Of Zartacla"" - Marc Harrison",NA,0,1
Heavy Metal,1981,June,5,3,p.02-03,Illustration,Rick Bryant,NA,2,2
Heavy Metal,1981,June,5,3,p.04,The Bus,Paul Kirchner,NA,4,1
Heavy Metal,1981,June,5,3,p.06-11,TheRichard Corben Interview,Brad Balfour,NA,6,6
Heavy Metal,1981,June,5,3,p.12-23,Bloodstar,"Robert ErvinHoward, John Jakes, John Pocsik, and Richard Corben",NA,12,12
Heavy Metal,1981,June,5,3,p.25-30,Tex Arcana:Part Four,John Findley,NA,25,6
Heavy Metal,1981,June,5,3,p.31-32,Passions,John Workman,NA,31,2
Heavy Metal,1981,June,5,3,p.34-41,The Nikopol Trilogy: The Immortals' Fete,Enki Bilal,NA,34,8
Heavy Metal,1981,June,5,3,p.42-45,Gallery: Xenopaleontology,Joel Hagen,NA,42,4
Heavy Metal,1981,June,5,3,p.47-51,Outland,Jim Steranko,NA,47,5
Heavy Metal,1981,June,5,3,p.52-54,Mudwogs,Arthur Suydam,NA,52,3
Heavy Metal,1981,June,5,3,p.56-64,Valentina: Reflection,Guido Crepax,reprinted in 15 Years Of 1992,56,9
Heavy Metal,1981,June,5,3,p.65-69,Changes: Initiation,Matt Howarth,NA,65,5
Heavy Metal,1981,June,5,3,p.70-73,What Goes Up,Mark Fisher,NA,70,4
Heavy Metal,1981,June,5,3,p.75-78,March Hair,"Philippe ""Caza"" Cazamayou",NA,75,4
Heavy Metal,1981,June,5,3,p.82-89,Cody Starbuck,HowardChaykin,NA,82,8
Heavy Metal,1981,June,5,3,p.90,"Ri-'vy-ed: Trust, Elvis Costello",Brad Balfour,NA,90,1
Heavy Metal,1981,June,5,3,p.90,Ri-'vy-ed: New Musics,Lou Stathis,NA,90,1
Heavy Metal,1981,June,5,3,p.90,"Ri-'vy-ed: Raw #2, Edited By Art Spiegelman And Franoise Mouly",Lou Stathis,NA,90,1
Heavy Metal,1981,June,5,3,p.91,"Ri-'vy-ed: Cities Of The Red Night, By William S. Burroughs",Elliot Murphy and WilliamCoupon,NA,91,1
Heavy Metal,1981,June,5,3,p.91,Ri-'vy-ed: George Romero's Knightriders,Brad Balfour,NA,91,1
Heavy Metal,1981,June,5,3,p.91,Ri-'vy-ed: Transformations Devoutly To Be Wished,Joe Dante,NA,91,1
Heavy Metal,1981,June,5,3,p.92-95,Rock Opera,Rod Kierkegaard Jr.,NA,92,4
Heavy Metal,1981,June,5,3,p.96,The Bus,Paul Kirchner,NA,96,1
Heavy Metal,1981,June,5,3,p.96,NextMonth,"""NextMonth""",NA,96,1
Heavy Metal,1981,June,5,3,Back Cover,NA,"""The Bionic Bunny"" - Jim Cherry",NA,97,1
Heavy Metal,1981,July,5,4,Cover,NA,"""Exhausted!"" - Chris Moore",NA,0,1
Heavy Metal,1981,July,5,4,p.04-05,Illustration,MatthewQuayle,NA,4,2
Heavy Metal,1981,July,5,4,p.05,Editorial,Brad Balfour,NA,5,1
Heavy Metal,1981,July,5,4,p.06,Chain Mail,"""Chain Mail""",NA,6,1
Heavy Metal,1981,July,5,4,p.08-14,The Richard Corben Interview,Brad Balfour,NA,8,7
